"Subject" "Activity" "mean_grouped" "dimension" "type_computation" "typetime" "type_number" "body_vs_gravity" "mag" "jerk" "freq"
1 "WALKING" 0.265696920582133 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
2 "WALKING" 0.273113115788079 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
3 "WALKING" 0.273428719636364 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
4 "WALKING" 0.277034464752577 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
4 "WALKING_UPSTAIRS" 0.269685855146341 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
5 "WALKING" 0.279177960301325 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
6 "WALKING" 0.269434151902542 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
6 "WALKING_UPSTAIRS" 0.280179098426966 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
7 "WALKING_UPSTAIRS" 0.270211697814935 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
8 "WALKING_UPSTAIRS" 0.270759063295374 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
9 "WALKING_UPSTAIRS" 0.270313841621528 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
10 "WALKING_DOWNSTAIRS" 0.276238831213675 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
10 "WALKING_UPSTAIRS" 0.2792260805 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
11 "WALKING_UPSTAIRS" 0.27658531139557 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
12 "SITTING" 0.275639357761194 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
12 "WALKING_DOWNSTAIRS" 0.272145794677419 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
13 "SITTING" 0.275895876198777 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
14 "WALKING_DOWNSTAIRS" 0.268742494553279 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
14 "WALKING_UPSTAIRS" 0.274638681518987 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
15 "WALKING_DOWNSTAIRS" 0.27821340725 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
16 "WALKING_DOWNSTAIRS" 0.277887440374317 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
17 "SITTING" 0.27344147274375 "X" "MEAN" "t" "Acc" "B" "FALSE" "FALSE" "FALSE"
